Mt,Mh_calc,Stability,S_approx
166.05,123.027,1,-1.0
166.05,123.077,1,-1.0
166.05,123.126,1,-1.0
166.05,123.176,1,-1.0
166.05,123.225,1,-1.0
166.05,123.275,1,-1.0
166.05,123.325,1,-1.0
166.05,123.374,1,-1.0
166.05,123.424,1,-1.0
166.05,123.473,1,-1.0
166.05,123.523,1,-1.0
166.05,123.573,1,-1.0
166.05,123.622,1,-1.0
166.05,123.672,1,-1.0
166.05,123.722,1,-1.0
166.05,123.771,1,-1.0
166.05,123.821,1,-1.0
166.05,123.87,1,-1.0
166.05,123.92,1,-1.0
166.05,123.97,1,-1.0
166.05,124.019,1,-1.0
166.05,124.069,1,-1.0
166.05,124.118,1,-1.0
166.05,124.168,1,-1.0
166.05,124.218,1,-1.0
166.05,124.267,1,-1.0
166.05,124.317,1,-1.0
166.05,124.366,1,-1.0
166.05,124.416,1,-1.0
166.05,124.466,1,-1.0
166.05,124.515,1,-1.0
166.05,124.565,1,-1.0
166.05,124.615,1,-1.0
166.05,124.664,1,-1.0
166.05,124.714,1,-1.0
166.05,124.763,1,-1.0
166.05,124.813,1,-1.0
166.05,124.863,1,-1.0
166.05,124.912,1,-1.0
166.05,124.962,1,-1.0
166.05,125.011,1,-1.0
166.05,125.061,1,-1.0
166.05,125.111,1,-1.0
166.05,125.16,1,-1.0
166.05,125.21,1,-1.0
166.05,125.259,1,-1.0
166.05,125.309,1,-1.0
166.05,125.359,1,-1.0
166.05,125.408,1,-1.0
166.05,125.458,1,-1.0
166.05,125.508,1,-1.0
166.05,125.557,1,-1.0
166.05,125.607,1,-1.0
166.05,125.656,1,-1.0
166.05,125.706,1,-1.0
166.05,125.756,1,-1.0
166.05,125.805,1,-1.0
166.05,125.855,1,-1.0
166.05,125.905,1,-1.0
166.05,125.954,1,-1.0
166.05,126.004,1,-1.0
166.05,126.053,1,-1.0
166.05,126.103,1,-1.0
166.05,126.153,1,-1.0
166.05,126.202,1,-1.0
166.05,126.252,1,-1.0
166.05,126.302,1,-1.0
166.05,126.351,1,-1.0
166.05,126.401,1,-1.0
166.05,126.45,1,-1.0
166.05,126.5,1,-1.0
166.05,126.55,1,-1.0
166.05,126.599,1,-1.0
166.05,126.649,1,-1.0
166.05,126.699,1,-1.0
166.05,126.748,1,-1.0
166.05,126.798,1,-1.0
166.05,126.847,1,-1.0
166.05,126.897,1,-1.0
166.05,126.947,1,-1.0
166.05,126.996,1,-1.0
166.05,127.046,1,-1.0
166.05,127.096,1,-1.0
166.05,127.145,1,-1.0
166.05,127.195,1,-1.0
166.05,127.244,1,-1.0
166.05,127.294,1,-1.0
166.05,127.344,1,-1.0
166.05,127.393,1,-1.0
166.05,127.443,1,-1.0
166.05,127.493,1,-1.0
166.05,127.542,1,-1.0
166.05,127.592,1,-1.0
166.05,127.641,1,-1.0
166.05,127.691,1,-1.0
166.05,127.741,1,-1.0
166.05,127.79,1,-1.0
166.05,127.84,1,-1.0
166.05,127.89,1,-1.0
166.05,127.939,1,-1.0
166.05,127.989,1,-1.0
166.05,128.039,1,-1.0
166.05,128.088,1,-1.0
166.05,128.138,1,-1.0
166.05,128.187,1,-1.0
166.05,128.237,1,-1.0
166.05,128.287,1,-1.0
166.05,128.336,1,-1.0
166.05,128.386,1,-1.0
166.05,128.436,1,-1.0
166.05,128.485,1,-1.0
166.05,128.535,1,-1.0
166.05,128.585,1,-1.0
166.05,128.634,1,-1.0
166.05,128.684,1,-1.0
166.05,128.733,1,-1.0
166.05,128.783,1,-1.0
166.05,128.833,1,-1.0
166.05,128.882,1,-1.0
166.05,128.932,1,-1.0
166.05,128.982,1,-1.0
166.05,129.031,1,-1.0
166.05,129.081,1,-1.0
166.05,129.131,1,-1.0
166.05,129.18,1,-1.0
166.05,129.23,1,-1.0
166.05,129.279,1,-1.0
166.05,129.329,1,-1.0
166.05,129.379,1,-1.0
166.05,129.428,1,-1.0
166.05,129.478,1,-1.0
166.05,129.528,1,-1.0
166.05,129.577,1,-1.0
166.05,129.627,1,-1.0
166.05,129.677,1,-1.0
166.05,129.726,1,-1.0
166.05,129.776,1,-1.0
166.05,129.826,1,-1.0
166.05,129.875,1,-1.0
166.05,129.925,1,-1.0
166.05,129.974,1,-1.0
166.05,130.024,1,-1.0
166.05,130.074,1,-1.0
166.05,130.123,1,-1.0
166.05,130.173,1,-1.0
166.05,130.223,1,-1.0
166.05,130.272,1,-1.0
166.05,130.322,1,-1.0
166.05,130.372,1,-1.0
166.05,130.421,1,-1.0
166.05,130.471,1,-1.0
166.05,130.521,1,-1.0
166.05,130.57,1,-1.0
166.05,130.62,1,-1.0
166.05,130.669,1,-1.0
166.05,130.719,1,-1.0
166.05,130.769,1,-1.0
166.05,130.818,1,-1.0
166.05,130.868,1,-1.0
166.05,130.918,1,-1.0
166.05,130.967,1,-1.0
166.05,131.017,1,-1.0
166.05,131.067,1,-1.0
166.05,131.116,1,-1.0
166.05,131.166,1,-1.0
166.05,131.216,1,-1.0
166.05,131.265,1,-1.0
166.05,131.315,1,-1.0
166.05,131.365,1,-1.0
166.05,131.414,1,-1.0
166.05,131.464,1,-1.0
166.05,131.514,1,-1.0
166.05,131.563,1,-1.0
166.05,131.613,1,-1.0
166.05,131.663,1,-1.0
166.05,131.712,1,-1.0
166.05,131.762,1,-1.0
166.05,131.811,1,-1.0
166.05,131.861,1,-1.0
166.1,118.015,1,-1.0
166.1,118.065,1,-1.0
166.1,118.114,1,-1.0
166.1,118.164,1,-1.0
166.1,118.214,1,-1.0
166.1,118.263,1,-1.0
166.1,118.313,1,-1.0
166.1,118.362,1,-1.0
166.1,118.412,1,-1.0
166.1,118.461,1,-1.0
166.1,118.511,1,-1.0
166.1,118.561,1,-1.0
166.1,118.61,1,-1.0
166.1,118.66,1,-1.0
166.1,118.709,1,-1.0
166.1,118.759,1,-1.0
166.1,118.808,1,-1.0
166.1,118.858,1,-1.0
166.1,118.908,1,-1.0
166.1,118.957,1,-1.0
166.1,119.007,1,-1.0
166.1,119.056,1,-1.0
166.1,119.106,1,-1.0
166.1,119.155,1,-1.0
166.1,119.205,1,-1.0
166.1,119.255,1,-1.0
166.1,119.304,1,-1.0
166.1,119.354,1,-1.0
166.1,119.403,1,-1.0
166.1,119.453,1,-1.0
166.1,119.503,1,-1.0
166.1,119.552,1,-1.0
166.1,119.602,1,-1.0
166.1,119.651,1,-1.0
166.1,119.701,1,-1.0
166.1,119.75,1,-1.0
166.1,119.8,1,-1.0
166.1,119.85,1,-1.0
166.1,119.899,1,-1.0
166.1,119.949,1,-1.0
166.1,119.998,1,-1.0
166.1,120.048,1,-1.0
166.1,120.098,1,-1.0
166.1,120.147,1,-1.0
166.1,120.197,1,-1.0
166.1,120.246,1,-1.0
166.1,120.296,1,-1.0
166.1,120.345,1,-1.0
166.1,120.395,1,-1.0
166.1,120.445,1,-1.0
166.1,120.494,1,-1.0
166.1,120.544,1,-1.0
166.1,120.593,1,-1.0
166.1,120.643,1,-1.0
166.1,120.693,1,-1.0
166.1,120.742,1,-1.0
166.1,120.792,1,-1.0
166.1,120.841,1,-1.0
166.1,120.891,1,-1.0
166.1,120.941,1,-1.0
166.1,120.99,1,-1.0
166.1,121.04,1,-1.0
166.1,121.089,1,-1.0
166.1,121.139,1,-1.0
166.1,121.188,1,-1.0
166.1,121.238,1,-1.0
166.1,121.288,1,-1.0
166.1,121.337,1,-1.0
166.1,121.387,1,-1.0
166.1,121.436,1,-1.0
166.1,121.486,1,-1.0
166.1,121.536,1,-1.0
166.1,121.585,1,-1.0
166.1,121.635,1,-1.0
166.1,121.684,1,-1.0
166.1,121.734,1,-1.0
166.1,121.784,1,-1.0
166.1,121.833,1,-1.0
166.1,121.883,1,-1.0
166.1,121.932,1,-1.0
166.1,121.982,1,-1.0
166.1,122.032,1,-1.0
166.1,122.081,1,-1.0
166.1,122.131,1,-1.0
166.1,122.18,1,-1.0
166.1,122.23,1,-1.0
166.1,122.28,1,-1.0
166.1,122.329,1,-1.0
166.1,122.379,1,-1.0
166.1,122.428,1,-1.0
166.1,122.478,1,-1.0
166.1,122.528,1,-1.0
166.1,122.577,1,-1.0
166.1,122.627,1,-1.0
166.1,122.676,1,-1.0
166.1,122.726,1,-1.0
166.1,122.776,1,-1.0
166.1,122.825,1,-1.0
166.1,122.875,1,-1.0
166.1,122.924,1,-1.0
166.1,122.974,1,-1.0
166.1,123.024,1,-1.0
166.1,123.073,1,-1.0
166.1,123.123,1,-1.0
166.1,123.172,1,-1.0
166.1,123.222,1,-1.0
166.1,123.272,1,-1.0
166.1,123.321,1,-1.0
166.1,123.371,1,-1.0
166.1,123.42,1,-1.0
166.1,123.47,1,-1.0
166.1,123.52,1,-1.0
166.1,123.569,1,-1.0
166.1,123.619,1,-1.0
166.1,123.668,1,-1.0
166.1,123.718,1,-1.0
166.1,123.768,1,-1.0
166.1,123.817,1,-1.0
166.1,123.867,1,-1.0
166.1,123.917,1,-1.0
166.1,123.966,1,-1.0
166.1,124.016,1,-1.0
166.1,124.065,1,-1.0
166.1,124.115,1,-1.0
166.1,124.165,1,-1.0
166.1,124.214,1,-1.0
166.1,124.264,1,-1.0
166.1,124.313,1,-1.0
166.1,124.363,1,-1.0
166.1,124.413,1,-1.0
166.1,124.462,1,-1.0
166.1,124.512,1,-1.0
166.1,124.561,1,-1.0
166.1,124.611,1,-1.0
166.1,124.661,1,-1.0
166.1,124.71,1,-1.0
166.1,124.76,1,-1.0
166.1,124.81,1,-1.0
166.1,124.859,1,-1.0
166.1,124.909,1,-1.0
166.1,124.958,1,-1.0
166.1,125.008,1,-1.0
166.1,125.058,1,-1.0
166.1,125.107,1,-1.0
166.1,125.157,1,-1.0
166.1,125.206,1,-1.0
166.1,125.256,1,-1.0
166.1,125.306,1,-1.0
166.1,125.355,1,-1.0
166.1,125.405,1,-1.0
166.1,125.455,1,-1.0
166.1,125.504,1,-1.0
166.1,125.554,1,-1.0
166.1,125.603,1,-1.0
166.1,125.653,1,-1.0
166.1,125.703,1,-1.0
166.1,125.752,1,-1.0
166.1,125.802,1,-1.0
166.1,125.852,1,-1.0
166.1,125.901,1,-1.0
166.1,125.951,1,-1.0
166.1,126.0,1,-1.0
166.1,126.05,1,-1.0
166.1,126.1,1,-1.0
166.1,126.149,1,-1.0
166.1,126.199,1,-1.0
166.1,126.249,1,-1.0
166.1,126.298,1,-1.0
166.1,126.348,1,-1.0
166.1,126.397,1,-1.0
166.1,126.447,1,-1.0
166.1,126.497,1,-1.0
166.1,126.546,1,-1.0
166.1,126.596,1,-1.0
166.1,126.646,1,-1.0
166.1,126.695,1,-1.0
166.1,126.745,1,-1.0
166.1,126.794,1,-1.0
166.1,126.844,1,-1.0
166.1,126.894,1,-1.0
166.1,126.943,1,-1.0
166.1,126.993,1,-1.0
166.1,127.043,1,-1.0
166.1,127.092,1,-1.0
166.1,127.142,1,-1.0
166.1,127.191,1,-1.0
166.1,127.241,1,-1.0
166.1,127.291,1,-1.0
166.1,127.34,1,-1.0
166.1,127.39,1,-1.0
166.1,127.44,1,-1.0
166.1,127.489,1,-1.0
166.1,127.539,1,-1.0
166.1,127.589,1,-1.0
166.1,127.638,1,-1.0
166.1,127.688,1,-1.0
166.1,127.737,1,-1.0
166.1,127.787,1,-1.0
166.1,127.837,1,-1.0
166.1,127.886,1,-1.0
166.1,127.936,1,-1.0
166.1,127.986,1,-1.0
166.1,128.035,1,-1.0
166.1,128.085,1,-1.0
166.1,128.134,1,-1.0
166.1,128.184,1,-1.0
166.1,128.234,1,-1.0
166.1,128.283,1,-1.0
166.1,128.333,1,-1.0
166.1,128.383,1,-1.0
166.1,128.432,1,-1.0
166.1,128.482,1,-1.0
