step,r,phi,dphi,dV,dr,truncation_error,friction
136,0.0102146,2548.32,-362411,-3.41217e+007,7.03157e-005,1.74404e-006,-1.0644e+008
137,0.0102849,2523.01,-357368,-3.3125e+007,7.05998e-005,1.73461e-006,-1.04241e+008
138,0.0103555,2497.96,-352389,-3.21574e+007,7.08863e-005,1.72485e-006,-1.02088e+008
139,0.0104264,2473.15,-347474,-3.12181e+007,7.11752e-005,2.03098,-9.99794e+007
140,0.0104975,2448.59,-342619,-2.99638e+007,7.1467e-005,1.75518e-006,-9.79141e+007
141,0.010569,2424.28,-337804,-2.90866e+007,7.17659e-005,1.74381e-006,-9.58853e+007
142,0.0106408,2400.21,-333051,-2.8235e+007,7.20673e-005,1.73215e-006,-9.38986e+007
143,0.0107128,2376.38,-328359,-2.74084e+007,7.23713e-005,1.72026e-006,-9.1953e+007
144,0.0107852,2352.78,-323728,-2.6606e+007,7.26777e-005,1.81234,-9.00478e+007
145,0.0108579,2329.42,-319155,-2.55279e+007,7.29871e-005,1.74335e-006,-8.81815e+007
146,0.0109309,2306.29,-314622,-2.47787e+007,7.33036e-005,1.73054e-006,-8.63486e+007
147,0.0110042,2283.39,-310148,-2.40516e+007,7.36227e-005,1.71749e-006,-8.45537e+007
148,0.0110778,2260.72,-305732,-2.33458e+007,7.39445e-005,1.70437e-006,-8.2796e+007
149,0.0111517,2238.28,-301375,-2.26607e+007,7.42689e-005,1.61858,-8.10747e+007
150,0.011226,2216.05,-297073,-2.17342e+007,7.45963e-005,1.7208e-006,-7.93887e+007
151,0.0113006,2194.05,-292810,-2.10948e+007,7.49309e-005,1.70668e-006,-7.7733e+007
152,0.0113755,2172.27,-288604,-2.04743e+007,7.52683e-005,1.69243e-006,-7.61116e+007
153,0.0114508,2150.7,-284453,-1.9872e+007,7.56084e-005,1.67819e-006,-7.4524e+007
154,0.0115264,2129.35,-280358,-1.92874e+007,7.59512e-005,1.44671,-7.29692e+007
155,0.0116024,2108.21,-276315,-1.84914e+007,7.62973e-005,1.68884e-006,-7.14463e+007
156,0.0116787,2087.28,-272312,-1.79461e+007,7.66506e-005,1.67383e-006,-6.9951e+007
157,0.0117553,2066.56,-268361,-1.74168e+007,7.70067e-005,1.65881e-006,-6.84868e+007
158,0.0118323,2046.05,-264464,-1.69031e+007,7.73658e-005,1.64375e-006,-6.7053e+007
159,0.0119097,2025.74,-260619,-1.64046e+007,7.77278e-005,1.2941,-6.56489e+007
160,0.0119874,2005.63,-256825,-1.5721e+007,7.80931e-005,1.64967e-006,-6.42737e+007
161,0.0120655,1985.72,-253068,-1.52561e+007,7.84657e-005,1.63414e-006,-6.29236e+007
162,0.012144,1966.01,-249362,-1.48049e+007,7.88414e-005,1.6186e-006,-6.16015e+007
163,0.0122228,1946.49,-245707,-1.43671e+007,7.92201e-005,1.60312e-006,-6.03069e+007
164,0.012302,1927.17,-242101,-1.39423e+007,7.96019e-005,1.15849,-5.90392e+007
165,0.0123816,1908.04,-238543,-1.33553e+007,7.99873e-005,1.60521e-006,-5.77976e+007
166,0.0124616,1889.1,-235021,-1.29593e+007,8.038e-005,1.5894e-006,-5.65788e+007
167,0.012542,1870.35,-231548,-1.2575e+007,8.0776e-005,1.57367e-006,-5.53853e+007
168,0.0126228,1851.78,-228122,-1.22021e+007,8.11752e-005,1.558e-006,-5.42167e+007
169,0.012704,1833.4,-224743,-1.18402e+007,8.15778e-005,1.03787,-5.30724e+007
170,0.0127855,1815.21,-221410,-1.13365e+007,8.19839e-005,1.55693e-006,-5.19517e+007
171,0.0128675,1797.19,-218112,-1.09993e+007,8.23977e-005,1.54113e-006,-5.08517e+007
172,0.0129499,1779.35,-214859,-1.06722e+007,8.2815e-005,1.52542e-006,-4.97746e+007
173,0.0130327,1761.69,-211651,-1.03548e+007,8.32356e-005,1.50977e-006,-4.87199e+007
174,0.013116,1744.21,-208488,-1.00468e+007,8.36598e-005,1.49417e-006,-4.76873e+007
175,0.0131996,1726.9,-205369,-9.748e+006,8.40875e-005,0.917644,-4.66761e+007
176,0.0132837,1709.76,-202283,-9.3277e+006,8.45229e-005,1.49057e-006,-4.56838e+007
177,0.0133682,1692.79,-199240,-9.04943e+006,8.49624e-005,1.475e-006,-4.47119e+007
178,0.0134532,1675.99,-196239,-8.77946e+006,8.54055e-005,1.45956e-006,-4.37604e+007
179,0.0135386,1659.36,-193280,-8.51755e+006,8.58524e-005,1.44419e-006,-4.28287e+007
180,0.0136245,1642.89,-190363,-8.26346e+006,8.6303e-005,0.823532,-4.19164e+007
181,0.0137108,1626.58,-187477,-7.90294e+006,8.67616e-005,1.43879e-006,-4.10212e+007
182,0.0137975,1610.44,-184632,-7.66642e+006,8.72245e-005,1.42352e-006,-4.01446e+007
