phi,V_solver,dV_solver,d2V_solver,V_full,dV_full,d2V_full
1.411237148412e+002,1.966429579868e+005,3.565774921860e+003,2.514285429347e+001,7.216856492068e+004,1.801728486345e+003,1.264285429347e+001
1.416772113518e+002,1.986206015238e+005,3.580205613273e+003,2.485810131879e+001,7.316790017111e+004,1.809240471375e+003,1.235810131879e+001
1.422328787123e+002,2.006139917509e+005,3.594536749661e+003,2.456833493078e+001,7.417529308354e+004,1.816625765758e+003,1.206833493078e+001
1.427907254367e+002,2.026231702324e+005,3.608764670246e+003,2.427431529864e+001,7.519072479016e+004,1.823880602286e+003,1.177431529864e+001
1.433507600728e+002,2.046481665421e+005,3.622885389347e+003,2.397436389972e+001,7.621416395805e+004,1.831000888436e+003,1.147436389972e+001
1.439129912016e+002,2.066890121162e+005,3.636894963123e+003,2.366923269709e+001,7.724558063739e+004,1.837982573102e+003,1.116923269709e+001
1.444774274380e+002,2.087457362478e+005,3.650789384418e+003,2.335886516200e+001,7.828494225343e+004,1.844821541442e+003,1.085886516200e+001
1.450440774305e+002,2.108183656744e+005,3.664564572860e+003,2.304320424237e+001,7.933221318896e+004,1.851513604979e+003,1.054320424237e+001
1.456129498616e+002,2.129069250564e+005,3.678216388202e+003,2.272302796914e+001,8.038735526014e+004,1.858054514932e+003,1.022302796914e+001
1.461840534479e+002,2.150114405417e+005,3.691740722468e+003,2.239661441382e+001,8.145033127641e+004,1.864440054369e+003,9.896614413816e+000
1.467573969401e+002,2.171319255366e+005,3.705133135307e+003,2.206473315104e+001,8.252109080769e+004,1.870665673556e+003,9.564733151042e+000
1.473329891232e+002,2.192683957239e+005,3.718389242275e+003,2.172732496958e+001,8.359958519906e+004,1.876726878235e+003,9.227324969575e+000
1.479108388168e+002,2.214208638047e+005,3.731504580007e+003,2.138433010249e+001,8.468576230785e+004,1.882619094797e+003,8.884330102489e+000
1.484909548750e+002,2.235893394068e+005,3.744474605027e+003,2.103568822316e+001,8.577956640873e+004,1.888337669089e+003,8.535688223163e+000
1.490733461866e+002,2.257738306058e+005,3.757294733141e+003,2.068220271798e+001,8.688093971032e+004,1.893877905808e+003,8.182202717979e+000
1.496580216754e+002,2.279743437902e+005,3.769960336442e+003,2.032209130250e+001,8.798982221660e+004,1.899235065500e+003,7.822091302496e+000
1.502449902999e+002,2.301908741787e+005,3.782466506997e+003,1.995614858191e+001,8.910614223987e+004,1.904404128248e+003,7.456148581909e+000
1.508342610540e+002,2.324234181593e+005,3.794808368710e+003,1.958431195996e+001,9.022982873610e+004,1.909380105535e+003,7.084311959963e+000
1.514258429669e+002,2.346719685610e+005,3.806980959181e+003,1.920651825544e+001,9.136080657193e+004,1.914157922094e+003,6.706518255443e+000
1.520197451031e+002,2.369365145493e+005,3.818979228408e+003,1.882270370585e+001,9.249899641680e+004,1.918732414619e+003,6.322703705849e+000
1.526159765625e+002,2.392170443655e+005,3.830798107403e+003,1.843369789376e+001,9.364431747714e+004,1.923098400371e+003,5.933697893758e+000
1.532145464811e+002,2.415135408257e+005,3.842432397976e+003,1.803765597356e+001,9.479668299190e+004,1.927250566962e+003,5.537655973556e+000
