phi,V_solver,dV_solver,d2V_solver,V_full,dV_full,d2V_full
1.538154640303e+002,2.438259775125e+005,3.853876681940e+003,1.763539840986e+001,9.595599641959e+004,1.931183381561e+003,5.135398409856e+000
1.544187384178e+002,2.461543278588e+005,3.865125545685e+003,1.722685904201e+001,9.712216051801e+004,1.934891315463e+003,4.726859042005e+000
1.550243788871e+002,2.484985610806e+005,3.876173481277e+003,1.681197110495e+001,9.829507327229e+004,1.938368745188e+003,4.311971104946e+000
1.556323947183e+002,2.508586420583e+005,3.887014885057e+003,1.639066720622e+001,9.947462777237e+004,1.941609951078e+003,3.890667206219e+000
1.562427952276e+002,2.532345354929e+005,3.897644158917e+003,1.596380401364e+001,1.006607163644e+005,1.944609218572e+003,3.463804013636e+000
1.568555897680e+002,2.556261962841e+005,3.908055479670e+003,1.552947181297e+001,1.018532210249e+005,1.947360607570e+003,3.029471812965e+000
1.574707877290e+002,2.580335724507e+005,3.918242872597e+003,1.508851780402e+001,1.030520162757e+005,1.949858025984e+003,2.588517804023e+000
1.580883985369e+002,2.604566103020e+005,3.928200336791e+003,1.464087207717e+001,1.042569743523e+005,1.952095355080e+003,2.140872077174e+000
1.587084316551e+002,2.628952511820e+005,3.937921768324e+003,1.418646407849e+001,1.054679619419e+005,1.954066372635e+003,1.686464078490e+000
1.593308965840e+002,2.653494313345e+005,3.947400958723e+003,1.372522261235e+001,1.066848400453e+005,1.955764751422e+003,1.225222612346e+000
1.599558028615e+002,2.678190877019e+005,3.956631732688e+003,1.325803232717e+001,1.079074697703e+005,1.957184196920e+003,7.580323271727e-001
1.605831600625e+002,2.703041423277e+005,3.965607582599e+003,1.278291626976e+001,1.091356967298e+005,1.958318081818e+003,2.829162697619e-001
1.612129777998e+002,2.728045132003e+005,3.974321927022e+003,1.230074925284e+001,1.103693618810e+005,1.959159704524e+003,-1.992507471593e-001
1.618452657238e+002,2.753201147667e+005,3.982768123745e+003,1.181145743069e+001,1.116083020341e+005,1.959702302198e+003,-6.885425693082e-001
1.624800335227e+002,2.778508556581e+005,3.990939418095e+003,1.131496626880e+001,1.128523475734e+005,1.959938999060e+003,-1.185033731205e+000
1.631172909228e+002,2.803966385376e+005,3.998828941286e+003,1.081120055561e+001,1.141013223002e+005,1.959862804751e+003,-1.688799444389e+000
1.637570476884e+002,2.829573677948e+005,4.006429888692e+003,1.030107387366e+001,1.153550511222e+005,1.959466792588e+003,-2.198926126339e+000
1.643993136221e+002,2.855329270087e+005,4.013735003727e+003,9.782539537025e+000,1.166133375122e+005,1.958743583451e+003,-2.717460462975e+000
1.650440985652e+002,2.881231990669e+005,4.020737043848e+003,9.256500920035e+000,1.178759836219e+005,1.957685811783e+003,-3.243499079965e+000
1.656914123974e+002,2.907280611751e+005,4.027428666947e+003,8.722880017674e+000,1.191427852862e+005,1.956286011980e+003,-3.777119982326e+000
1.663412650370e+002,2.933473837588e+005,4.033802408222e+003,8.181598110814e+000,1.204135309206e+005,1.954536595260e+003,-4.318401889186e+000
1.669936664416e+002,2.959810307825e+005,4.039850689431e+003,7.598543449530e+001,1.216880018350e+005,1.952429858912e+003,6.348543449530e+001
1.676486266074e+002,2.986288671690e+005,4.045565986966e+003,7.076756460355e+000,1.229659796481e+005,1.949958154374e+003,-5.423243539645e+000
1.683061555702e+002,3.012907331495e+005,4.050940258364e+003,6.512021222552e+000,1.242472206319e+005,1.947113313737e+003,-5.987978777448e+000
1.689662634049e+002,3.039664702716e+005,4.055965529976e+003,5.939302933359e+000,1.255314817153e+005,1.943887237416e+003,-6.560697066641e+000
1.696289602260e+002,3.066559124030e+005,4.060633696271e+003,5.358519216173e+000,1.268185114820e+005,1.940271693446e+003,-7.141480783827e+000
1.702942561878e+002,3.093588855396e+005,4.064936517925e+003,4.769586950580e+000,1.281080499737e+005,1.936258315578e+003,-7.730413049420e+000
