phi,V,dV_dphi,lambda_eff,beta_lambda
1.520121345396e+002,2.369074487677e+005,4.955448385729e+003,1.774702976588e-003,-7.279181282534e-004
1.527740985349e+002,2.398230213761e+005,4.985438196279e+003,1.760969938803e-003,-7.256374285670e-004
1.535398818906e+002,2.427646309388e+005,5.015321668806e+003,1.747272316136e-003,-7.233617877214e-004
1.543095037513e+002,2.457322272995e+005,5.045090260641e+003,1.733610026096e-003,-7.210911918572e-004
1.550829833577e+002,2.487257492201e+005,5.074735214793e+003,1.719982986433e-003,-7.188256271621e-004
1.558603400467e+002,2.517451239818e+005,5.104247555677e+003,1.706391115134e-003,-7.165650798710e-004
1.566415932523e+002,2.547902669749e+005,5.133618084764e+003,1.692834330425e-003,-7.143095362660e-004
1.574267625060e+002,2.578610812776e+005,5.162837376153e+003,1.679312550771e-003,-7.120589826754e-004
1.582158674368e+002,2.609574572223e+005,5.191895772064e+003,1.665825694870e-003,-7.098134054747e-004
1.590089277727e+002,2.640792719511e+005,5.220783378252e+003,1.652373681657e-003,-7.075727910853e-004
1.598059633400e+002,2.672263889581e+005,5.249490059335e+003,1.638956430303e-003,-7.053371259749e-004
1.606069940647e+002,2.703986576195e+005,5.278005434038e+003,1.625573860211e-003,-7.031063966571e-004
1.614120399726e+002,2.735959127115e+005,5.306318870359e+003,1.612225891017e-003,-7.008805896916e-004
1.622211211899e+002,2.768179739136e+005,5.334419480640e+003,1.598912442591e-003,-6.986596916833e-004
1.630342579437e+002,2.800646452998e+005,5.362296116553e+003,1.585633435032e-003,-6.964436892828e-004
1.638514705624e+002,2.833357148153e+005,5.389937364001e+003,1.572388788671e-003,-6.942325691857e-004
1.646727794765e+002,2.866309537391e+005,5.417331537924e+003,1.559178424067e-003,-6.920263181330e-004
1.654982052186e+002,2.899501161324e+005,5.444466677007e+003,1.546002262011e-003,-6.898249229102e-004
1.663277684244e+002,2.932929382713e+005,5.471330538308e+003,1.532860223519e-003,-6.876283703476e-004
1.671614898331e+002,2.966591380658e+005,5.497910591778e+003,1.519752229835e-003,-6.854366473200e-004
1.679993902878e+002,3.000484144612e+005,5.524194014688e+003,1.506678202430e-003,-6.832497407467e-004
1.688414907360e+002,3.034604468256e+005,5.550167685959e+003,1.493638063001e-003,-6.810676375908e-004
1.696878122303e+002,3.068948943193e+005,5.575818180388e+003,1.480631733468e-003,-6.788903248595e-004
1.705383759286e+002,3.103513952486e+005,5.601131762777e+003,1.467659135977e-003,-6.767177896040e-004
1.713932030953e+002,3.138295664016e+005,5.626094381949e+003,1.454720192896e-003,-6.745500189187e-004
1.722523151010e+002,3.173290023670e+005,5.650691664671e+003,1.441814826816e-003,-6.723869999417e-004
1.731157334235e+002,3.208492748348e+005,5.674908909458e+003,1.428942960549e-003,-6.702287198543e-004
1.739834796484e+002,3.243899318780e+005,5.698731080272e+003,1.416104517129e-003,-6.680751658808e-004
1.748555754693e+002,3.279504972163e+005,5.722142800115e+003,1.403299419809e-003,-6.659263252884e-004
1.757320426887e+002,3.315304694596e+005,5.745128344501e+003,1.390527592062e-003,-6.637821853870e-004
1.766129032184e+002,3.351293213318e+005,5.767671634815e+003,1.377788957579e-003,-6.616427335293e-004
1.774981790798e+002,3.387464988751e+005,5.789756231563e+003,1.365083440269e-003,-6.595079571099e-004
1.783878924049e+002,3.423814206326e+005,5.811365327492e+003,1.352410964258e-003,-6.573778435661e-004
1.792820654367e+002,3.460334768097e+005,5.832481740597e+003,1.339771453888e-003,-6.552523803769e-004
1.801807205294e+002,3.497020284140e+005,5.853087907001e+003,1.327164833718e-003,-6.531315550633e-004
1.810838801495e+002,3.533864063733e+005,5.873165873717e+003,1.314591028519e-003,-6.510153551880e-004
1.819915668761e+002,3.570859106293e+005,5.892697291272e+003,1.302049963278e-003,-6.489037683551e-004
1.829038034013e+002,3.607998092093e+005,5.911663406216e+003,1.289541563195e-003,-6.467967822103e-004
1.838206125311e+002,3.645273372735e+005,5.930045053484e+003,1.277065753681e-003,-6.446943844403e-004
1.847420171858e+002,3.682676961373e+005,5.947822648643e+003,1.264622460360e-003,-6.425965627728e-004
1.856680404005e+002,3.720200522690e+005,5.964976179986e+003,1.252211609068e-003,-6.405033049766e-004
1.865987053260e+002,3.757835362615e+005,5.981485200499e+003,1.239833125849e-003,-6.384145988609e-004
1.875340352288e+002,3.795572417779e+005,5.997328819687e+003,1.227486936957e-003,-6.363304322756e-004
1.884740534922e+002,3.833402244695e+005,6.012485695254e+003,1.215172968856e-003,-6.342507931110e-004
1.894187836168e+002,3.871315008673e+005,6.026934024639e+003,1.202891148218e-003,-6.321756692975e-004
1.903682492208e+002,3.909300472439e+005,6.040651536410e+003,1.190641401920e-003,-6.301050488057e-004
1.913224740410e+002,3.947347984474e+005,6.053615481502e+003,1.178423657049e-003,-6.280389196459e-004
1.922814819330e+002,3.985446467054e+005,6.065802624303e+003,1.166237840894e-003,-6.259772698683e-004
1.932452968721e+002,4.023584403986e+005,6.077189233593e+003,1.154083880953e-003,-6.239200875625e-004
1.942139429536e+002,4.061749828031e+005,6.087751073321e+003,1.141961704926e-003,-6.218673608578e-004
1.951874443939e+002,4.099930308017e+005,6.097463393217e+003,1.129871240717e-003,-6.198190779224e-004
1.961658255304e+002,4.138112935617e+005,6.106300919252e+003,1.117812416434e-003,-6.177752269637e-004
1.971491108228e+002,4.176284311799e+005,6.114237843925e+003,1.105785160386e-003,-6.157357962283e-004
1.981373248532e+002,4.214430532939e+005,6.121247816388e+003,1.093789401085e-003,-6.137007740014e-004
1.991304923270e+002,4.252537176572e+005,6.127303932395e+003,1.081825067244e-003,-6.116701486066e-004
2.001286380735e+002,4.290589286804e+005,6.132378724082e+003,1.069892087774e-003,-6.096439084064e-004
2.011317870465e+002,4.328571359341e+005,6.136444149570e+003,1.057990391787e-003,-6.076220418014e-004
2.021399643245e+002,4.366467326157e+005,6.139471582385e+003,1.046119908595e-003,-6.056045372304e-004
2.031531951122e+002,4.404260539770e+005,6.141431800701e+003,1.034280567706e-003,-6.035913831701e-004
2.041715047404e+002,4.441933757133e+005,6.142294976398e+003,1.022472298827e-003,-6.015825681354e-004
2.051949186668e+002,4.479469123117e+005,6.142030663927e+003,1.010695031861e-003,-5.995780806787e-004
2.062234624768e+002,4.516848153592e+005,6.140607788986e+003,9.989486969063e-004,-5.975779093899e-004
2.072571618842e+002,4.554051718079e+005,6.137994637007e+003,9.872332242589e-004,-5.955820428964e-004
2.082960427314e+002,4.591060021978e+005,6.134158841435e+003,9.755485444077e-004,-5.935904698630e-004
2.093401309905e+002,4.627852588356e+005,6.129067371816e+003,9.638945880362e-004,-5.916031789914e-004
2.103894527638e+002,4.664408239281e+005,6.122686521677e+003,9.522712860214e-004,-5.896201590205e-004
2.114440342844e+002,4.700705076698e+005,6.114981896195e+003,9.406785694329e-004,-5.876413987259e-004
2.125039019168e+002,4.736720462834e+005,6.105918399663e+003,9.291163695324e-004,-5.856668869199e-004
2.135690821579e+002,4.772431000121e+005,6.095460222736e+003,9.175846177730e-004,-5.836966124514e-004
2.146396016371e+002,4.807812510622e+005,6.083570829456e+003,9.060832457986e-004,-5.817305642057e-004
2.157154871176e+002,4.842840014954e+005,6.070212944068e+003,8.946121854433e-004,-5.797687311042e-004
2.167967654965e+002,4.877487710699e+005,6.055348537598e+003,8.831713687304e-004,-5.778111021047e-004
2.178834638058e+002,4.911728950276e+005,6.038938814209e+003,8.717607278722e-004,-5.758576662007e-004
2.189756092130e+002,4.945536218283e+005,6.020944197320e+003,8.603801952691e-004,-5.739084124217e-004
2.200732290219e+002,4.978881108278e+005,6.001324315497e+003,8.490297035090e-004,-5.719633298328e-004
2.211763506730e+002,5.011734298995e+005,5.980037988096e+003,8.377091853667e-004,-5.700224075347e-004
2.222850017443e+002,5.044065529987e+005,5.957043210660e+003,8.264185738031e-004,-5.680856346635e-004
2.233992099523e+002,5.075843576663e+005,5.932297140083e+003,8.151578019649e-004,-5.661530003906e-004
2.245190031522e+002,5.107036224735e+005,5.905756079499e+003,8.039268031837e-004,-5.642244939225e-004
2.256444093388e+002,5.137610244031e+005,5.877375462937e+003,7.927255109752e-004,-5.623001045006e-004
2.267754566474e+002,5.167531361680e+005,5.847109839700e+003,7.815538590392e-004,-5.603798214013e-004
2.279121733543e+002,5.196764234647e+005,5.814912858489e+003,7.704117812581e-004,-5.584636339357e-004
2.290545878773e+002,5.225272421603e+005,5.780737251249e+003,7.592992116973e-004,-5.565515314495e-004
2.302027287770e+002,5.253018354116e+005,5.744534816754e+003,7.482160846035e-004,-5.546435033228e-004
2.313566247569e+002,5.279963307142e+005,5.706256403900e+003,7.371623344049e-004,-5.527395389700e-004
2.325163046644e+002,5.306067368819e+005,5.665851894726e+003,7.261378957103e-004,-5.508396278398e-004
2.336817974917e+002,5.331289409514e+005,5.623270187145e+003,7.151427033084e-004,-5.489437594147e-004
2.348531323761e+002,5.355587050142e+005,5.578459177383e+003,7.041766921673e-004,-5.470519232115e-004
2.360303386010e+002,5.378916629716e+005,5.531365742120e+003,6.932397974339e-004,-5.451641087804e-004
2.372134455967e+002,5.401233172122e+005,5.481935720334e+003,6.823319544331e-004,-5.432803057056e-004
2.384024829409e+002,5.422490352094e+005,5.430113894837e+003,6.714530986675e-004,-5.414005036045e-004
2.395974803596e+002,5.442640460380e+005,5.375843973494e+003,6.606031658166e-004,-5.395246921282e-004
2.407984677277e+002,5.461634368069e+005,5.319068570142e+003,6.497820917364e-004,-5.376528609607e-004
2.420054750701e+002,5.479421490068e+005,5.259729185165e+003,6.389898124584e-004,-5.357849998196e-004
2.432185325620e+002,5.495949747713e+005,5.197766185766e+003,6.282262641894e-004,-5.339210984551e-004
2.444376705299e+002,5.511165530479e+005,5.133118785888e+003,6.174913833109e-004,-5.320611466505e-004
2.456629194522e+002,5.525013656784e+005,5.065725025812e+003,6.067851063780e-004,-5.302051342217e-004
2.468943099604e+002,5.537437333862e+005,4.995521751403e+003,5.961073701197e-004,-5.283530510174e-004
2.481318728391e+002,5.548378116679e+005,4.922444593011e+003,5.854581114374e-004,-5.265048869187e-004
2.493756390276e+002,5.557775865875e+005,4.846427944023e+003,5.748372674049e-004,-5.246606318390e-004
2.506256396200e+002,5.565568704706e+005,4.767404939047e+003,5.642447752676e-004,-5.228202757242e-004
2.518819058665e+002,5.571692974975e+005,4.685307431738e+003,5.536805724422e-004,-5.209838085520e-004
2.531444691738e+002,5.576083191905e+005,4.600065972246e+003,5.431445965155e-004,-5.191512203324e-004
2.544133611060e+002,5.578671997961e+005,4.511609784297e+003,5.326367852445e-004,-5.173225011069e-004
2.556886133854e+002,5.579390115570e+005,4.419866741876e+003,5.221570765556e-004,-5.154976409493e-004
2.569702578935e+002,5.578166298727e+005,4.324763345537e+003,5.117054085437e-004,-5.136766299645e-004
2.582583266715e+002,5.574927283467e+005,4.226224698305e+003,5.012817194722e-004,-5.118594582892e-004
2.595528519210e+002,5.569597737161e+005,4.124174481179e+003,4.908859477720e-004,-5.100461160914e-004
2.608538660054e+002,5.562100206626e+005,4.018534928231e+003,4.805180320413e-004,-5.082365935705e-004
2.621614014500e+002,5.552355065009e+005,3.909226801282e+003,4.701779110445e-004,-5.064308809568e-004
2.634754909433e+002,5.540280457433e+005,3.796169364165e+003,4.598655237123e-004,-5.046289685118e-004
2.647961673376e+002,5.525792245355e+005,3.679280356550e+003,4.495808091407e-004,-5.028308465280e-004
2.661234636499e+002,5.508803949626e+005,3.558475967340e+003,4.393237065905e-004,-5.010365053284e-004
2.674574130626e+002,5.489226692224e+005,3.433670807623e+003,4.290941554869e-004,-4.992459352669e-004
2.687980489246e+002,5.466969136607e+005,3.304777883172e+003,4.188920954190e-004,-4.974591267280e-004
2.701454047518e+002,5.441937426689e+005,3.171708566489e+003,4.087174661389e-004,-4.956760701264e-004
2.714995142282e+002,5.414035124376e+005,3.034372568389e+003,3.985702075615e-004,-4.938967559074e-004
2.728604112065e+002,5.383163145656e+005,2.892677909101e+003,3.884502597639e-004,-4.921211745464e-004
2.742281297094e+002,5.349219695187e+005,2.746530888905e+003,3.783575629847e-004,-4.903493165487e-004
2.756027039298e+002,5.312100199372e+005,2.595836058269e+003,3.682920576236e-004,-4.885811724499e-004
