phi,dV_fd,dV_ana
3.11525e+007,7.84251e+019,7.52187e+019
3.23228e+007,8.86563e+019,8.5073e+019
3.35371e+007,1.00114e+020,9.61123e+019
3.4797e+007,1.1304e+020,1.08571e+020
3.61042e+007,1.27737e+020,1.22742e+020
3.74605e+007,1.44196e+020,1.38619e+020
3.88678e+007,1.6276e+020,1.56532e+020
4.03279e+007,1.83695e+020,1.7674e+020
4.18429e+007,2.07477e+020,1.99704e+020
4.34148e+007,2.34114e+020,2.25434e+020
4.50457e+007,2.64146e+020,2.54453e+020
4.6738e+007,2.98003e+020,2.87178e+020
4.84937e+007,3.36432e+020,3.24335e+020
5.03155e+007,3.79479e+020,3.65971e+020
5.22057e+007,4.27996e+020,4.12912e+020
5.41669e+007,4.82674e+020,4.65832e+020
5.62017e+007,5.44691e+020,5.25868e+020
5.83131e+007,6.14165e+020,5.93147e+020
6.05037e+007,6.92443e+020,6.68975e+020
6.27766e+007,7.80636e+020,7.54432e+020
6.51349e+007,8.80595e+020,8.5131e+020
6.75818e+007,9.92582e+020,9.59884e+020
7.01206e+007,1.11872e+021,1.08222e+021
7.27548e+007,1.26163e+021,1.22083e+021
7.5488e+007,1.42173e+021,1.37618e+021
7.83238e+007,1.60204e+021,1.55117e+021
8.12662e+007,1.80508e+021,1.74829e+021
8.43191e+007,2.03496e+021,1.9715e+021
8.74867e+007,2.29252e+021,2.22166e+021
9.07733e+007,2.58251e+021,2.50339e+021
9.41833e+007,2.90897e+021,2.82065e+021
9.77215e+007,3.27839e+021,3.17968e+021
1.01393e+008,3.69231e+021,3.5821e+021
1.05202e+008,4.15821e+021,4.03517e+021
1.09154e+008,4.6826e+021,4.54524e+021
1.13254e+008,5.27568e+021,5.12216e+021
1.17509e+008,5.9402e+021,5.76881e+021
1.21923e+008,6.68802e+021,6.49669e+021
1.26503e+008,7.52954e+021,7.31594e+021
1.31256e+008,8.48079e+021,8.24208e+021
1.36187e+008,9.54668e+021,9.28018e+021
1.41303e+008,1.07459e+022,1.04484e+022
1.46611e+008,1.21011e+022,1.17686e+022
1.52119e+008,1.36196e+022,1.32484e+022
1.57833e+008,1.53277e+022,1.49134e+022
1.63762e+008,1.72492e+022,1.67866e+022
1.69914e+008,1.94196e+022,1.89026e+022
1.76298e+008,2.18515e+022,2.12744e+022
1.8292e+008,2.45867e+022,2.39425e+022
1.89792e+008,2.76629e+022,2.69438e+022
1.96922e+008,3.11361e+022,3.03324e+022
2.0432e+008,3.50279e+022,3.41308e+022
2.11995e+008,3.94043e+022,3.84028e+022
2.19959e+008,4.43252e+022,4.32074e+022
2.28222e+008,4.98791e+022,4.86298e+022
2.36796e+008,5.61025e+022,5.4708e+022
